clipfrac,total_timesteps,time_elapsed,fps,policy_loss,eplenmean,policy_entropy,approxkl,nupdates,value_loss,explained_variance,serial_timesteps,eprewmean
0.15631104,1261568,917.3008012771606,1497,0.04289057,2376.78,0.41290203,0.051046245,77,1368.6498,0.9800100587308407,157696,-24372.961523259994
0.1774292,1277952,928.2529911994934,1496,0.022478083,2443.11,0.45129365,0.0099676745,78,1592.2194,0.980220990255475,159744,-24842.75756056
0.2851715,1294336,939.53551030159,1452,0.061066613,2464.2,0.5159274,0.078477636,79,1586.5347,0.9815325159579515,161792,-25109.676788980003
0.08265686,1310720,951.6183941364288,1356,0.009234342,2406.02,0.25831297,0.008275999,80,2282.622,0.9822649210691452,163840,-25775.15273055
0.048065186,1327104,963.4080090522766,1389,0.0033796031,2302.76,0.24810866,0.0016819782,81,2296.0999,0.9823565948754549,165888,-26263.37474935001
0.014877319,1343488,974.9309639930725,1421,0.00047926608,2357.41,0.21376261,0.0003163016,82,2269.673,0.9820490833371878,167936,-26911.08930964
0.019317627,1359872,986.0401842594147,1474,0.0011686992,2242.04,0.22089916,0.00050067535,83,1819.804,0.9849681267514825,169984,-27291.209244209997
0.0178833,1376256,997.4033031463623,1441,0.00097285176,2198.91,0.17955998,0.00052144437,84,1694.1069,0.9848021371290088,172032,-27408.519873409998
0.017166138,1392640,1008.3839144706726,1492,0.0009439668,2061.16,0.19390853,0.00041455677,85,1423.0317,0.9851713245734572,174080,-27690.242817799997
0.02128601,1409024,1019.1573672294617,1520,0.002068717,1965.23,0.15279706,0.00080561516,86,1161.4406,0.9877782352268696,176128,-27622.653093009998
0.03048706,1425408,1030.248253583908,1477,0.004118994,1901.7,0.1730142,0.0020654728,87,1465.9893,0.9839869868010283,178176,-27805.475712069998
0.024597168,1441792,1041.1427822113037,1503,0.0005934902,1930.67,0.22531796,0.0006421798,88,1544.2976,0.985303483903408,180224,-28083.28970457
0.053085327,1458176,1051.8067064285278,1536,0.012032508,1865.68,0.24861933,0.010485881,89,1422.0385,0.9824667107313871,182272,-28445.259204740003
0.38441467,1474560,1063.3655033111572,1417,0.12997112,1895.08,0.38839298,1.8824593,90,2381.0623,0.980372091755271,184320,-28539.503919539995
0.060333252,1490944,1075.1719346046448,1387,0.005433735,1838.27,0.3068123,0.002667395,91,2747.475,0.9821970481425524,186368,-28676.354977810002
0.0155181885,1507328,1087.1460638046265,1368,0.00037649166,2425.24,0.31834745,0.00031257502,92,2834.9548,0.9811286441981792,188416,-29734.301856450005
0.036453247,1523712,1099.2285797595978,1356,0.0021824846,2436.63,0.3067595,0.0011330949,93,3127.4448,0.9806803949177265,190464,-29693.60301244
0.04159546,1540096,1111.1070771217346,1379,0.0027319416,2415.94,0.28496757,0.0013518189,94,3073.5994,0.981855833902955,192512,-29547.31589654
0.048355103,1556480,1123.498245716095,1322,0.0030092231,2390.75,0.3338595,0.0013391111,95,4289.157,0.9771071933209896,194560,-29506.070451170002
0.04135132,1572864,1134.9030876159668,1436,0.0027679354,2380.46,0.3269108,0.0014883666,96,2599.8938,0.9830633774399757,196608,-29504.97636060001
0.050231934,1589248,1146.2751116752625,1440,0.005216968,2382.33,0.28589305,0.002880404,97,2758.7473,0.9830224849283695,198656,-29385.095425709995
0.054031372,1605632,1158.23113322258,1370,0.003616852,2082.71,0.39872482,0.0016880191,98,3571.8345,0.9789528381079435,200704,-29107.728256879993
0.029129028,1622016,1170.2892501354218,1358,0.0009118352,1987.14,0.31045368,0.0005950552,99,3473.8457,0.9795414935797453,202752,-29216.91060122
0.017745972,1638400,1182.4991397857666,1341,0.0006243256,1986.16,0.28270254,0.0004212746,100,3722.8147,0.9798501804471016,204800,-29066.11559123
0.020828247,1654784,1193.4016027450562,1502,0.0012910827,1389.61,0.21216062,0.0005192155,101,1726.4215,0.9858814673498273,206848,-28411.876292850007
0.040023804,1671168,1204.9053666591644,1424,0.0014467193,1473.51,0.29532313,0.0014805332,102,3076.9036,0.9831306505948305,208896,-28552.953057919996
0.014343262,1687552,1217.0625367164612,1347,-0.00015818584,1491.91,0.31544366,0.00025973344,103,3350.8552,0.9810634963214397,210944,-28630.07442154
0.038269043,1703936,1228.7832322120667,1397,0.0019213102,1443.65,0.31948662,0.0009226111,104,3061.8582,0.9815896525979042,212992,-28391.982948510005
0.029968262,1720320,1240.6984667778015,1375,0.001186933,1501.11,0.3476885,0.00076795445,105,3542.1985,0.9801907222718,215040,-28568.169904880004
0.025817871,1736704,1252.3158011436462,1410,0.00079871796,1483.21,0.30983987,0.0005332089,106,3252.1372,0.982512591406703,217088,-28494.147473480003
0.033554077,1753088,1264.342931985855,1362,0.0018220309,1474.69,0.3600361,0.0008544886,107,3805.9253,0.9809862244874239,219136,-28423.07012667
0.06367493,1769472,1276.6309378147125,1333,0.003197101,1457.67,0.39881852,0.0017859793,108,4113.0757,0.9773977138102055,221184,-28329.79983662
0.07659912,1785856,1289.0130453109741,1323,0.0050846543,1448.6,0.3827181,0.0027916066,109,4290.9907,0.9770895857363939,223232,-28254.423703580003
0.019378662,1802240,1301.1352229118347,1351,0.00023495004,1342.41,0.41475925,0.00035259142,110,3672.6294,0.9804144278168678,225280,-27916.95198365
0.02470398,1818624,1312.813669681549,1402,0.00040286206,1374.33,0.34510344,0.0004786224,111,3219.6956,0.983174929395318,227328,-27980.2997429
0.032318115,1835008,1325.040287733078,1340,0.00085942174,1354.96,0.37550405,0.0005613017,112,3844.7656,0.9811242911964655,229376,-27896.254362110005
0.03427124,1851392,1337.2327947616577,1343,0.0009891662,1282.01,0.32015693,0.0006736443,113,3727.3223,0.9823569543659687,231424,-27689.864860789996
0.034362793,1867776,1349.6077361106873,1324,0.0015420923,1340.28,0.3879475,0.00077190413,114,4553.738,0.9787696450948715,233472,-27755.17520095
0.03656006,1884160,1362.1890120506287,1302,0.0009809983,1273.49,0.48306504,0.00072239724,115,4819.5557,0.9763918612152338,235520,-27551.013329979996
0.0357666,1900544,1374.5325713157654,1327,0.0014929095,1266.61,0.35037854,0.0007318662,116,4820.527,0.9769848175346851,237568,-27652.671414570006
0.043884277,1916928,1386.7450993061066,1341,0.0017077425,1265.7,0.41267785,0.0010073902,117,3755.577,0.980979623273015,239616,-27676.171917729996
0.029144287,1933312,1399.5324800014496,1281,0.0010037152,1235.82,0.4573248,0.00057750114,118,4811.478,0.9779007043689489,241664,-27809.253587910003
0.0619812,1949696,1411.9182024002075,1322,0.002784786,1223.41,0.46404225,0.0014059368,119,4596.7407,0.978903466835618,243712,-27839.55662139
0.049362183,1966080,1424.1114871501923,1343,0.0026883655,1221.41,0.40887734,0.0011855963,120,4220.95,0.9801072850823402,245760,-27805.69289128
0.021224976,1982464,1436.0444693565369,1373,0.0008140558,1179.43,0.3580224,0.0004178204,121,3753.7239,0.9827591292560101,247808,-27534.700082749994
0.05607605,1998848,1447.8243114948273,1390,0.003449612,1218.22,0.42239392,0.0015841101,122,3603.9775,0.9807214941829443,249856,-27520.148162339996
0.037078857,2015232,1460.0343658924103,1341,0.002938917,1237.69,0.32768777,0.0017573161,123,3722.0298,0.9826641418039799,251904,-27506.568520970006
0.10374451,2031616,1471.7976200580597,1392,0.013988273,1252.46,0.38937628,0.007783809,124,3560.8452,0.9819194357842207,253952,-27497.23934065
0.07458496,2048000,1483.3862602710724,1413,0.0063597187,1305.08,0.28828627,0.0034971188,125,2810.7808,0.9870677068829536,256000,-27496.36001215
0.051696777,2064384,1495.4414138793945,1359,0.003097836,1373.37,0.4663697,0.0018442717,126,3970.0757,0.98262033239007,258048,-27946.44941326
0.023925781,2080768,1506.9103481769562,1428,0.001759131,1401.92,0.23328567,0.0006031893,127,3617.5796,0.9827668908983469,260096,-28062.85824075
0.03303528,2097152,1517.647439956665,1525,0.0028281305,1417.56,0.17359327,0.0012933372,128,2178.034,0.9851496312767267,262144,-28109.81621362
0.056900024,2113536,1528.9530038833618,1449,0.0066124042,1520.26,0.28059867,0.0024839987,129,3160.6316,0.9845203552395105,264192,-28167.699071419996
0.029541016,2129920,1540.1324293613434,1465,0.0016023978,1543.71,0.31199804,0.00071845704,130,2770.6013,0.984660149551928,266240,-28334.498904080003
0.0337677,2146304,1550.9922168254852,1508,0.0021232318,1529.08,0.18506326,0.0010516946,131,2544.5498,0.9864535229280591,268288,-28493.039088890004
0.060287476,2162688,1562.6445982456207,1406,0.0042921407,1631.48,0.3415811,0.001842085,132,3628.1099,0.9838623255491257,270336,-28706.173442189996
0.05882263,2179072,1574.406508922577,1393,0.0040112357,1721.19,0.3011993,0.0016945193,133,3997.3005,0.9816224109381437,272384,-28999.825898580002
0.06921387,2195456,1585.9936273097992,1414,0.005707012,1766.45,0.36411577,0.0031619726,134,2933.4607,0.984229264780879,274432,-28801.265814520008
0.023223877,2211840,1597.229605436325,1458,0.0008735637,1774.53,0.3078205,0.0004715694,135,3062.6226,0.9842154588550329,276480,-28842.597343320005
0.022354126,2228224,1607.72096657753,1561,0.0015249333,1764.9,0.18938974,0.00057759037,136,2502.108,0.9857227802276611,278528,-28833.260349809996
0.021881104,2244608,1618.074464082718,1582,0.0039103907,1806.46,0.16114274,0.00095701154,137,1724.7976,0.9834679421037436,280576,-28824.092450870005
0.032226562,2260992,1629.0001230239868,1499,0.0030830752,1813.92,0.19591148,0.0014426279,138,2448.868,0.9860023818910122,282624,-28644.493262219992
0.05041504,2277376,1640.0687341690063,1480,0.0042520487,1865.57,0.30488378,0.0017268773,139,2947.8906,0.9842136763036251,284672,-28464.025411080005
0.046157837,2293760,1651.2550966739655,1464,0.0031142319,1894.21,0.28249714,0.001318651,140,3355.5425,0.9852936826646328,286720,-28255.401720269998
0.06085205,2310144,1662.1478362083435,1504,0.005735958,1867.53,0.29547295,0.0023925158,141,2791.0098,0.9840132370591164,288768,-28062.88969363999
0.02909851,2326528,1673.533831357956,1439,0.0017751012,1944.02,0.24392764,0.0009852768,142,3501.5566,0.9857510458678007,290816,-28036.280730940005
